Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 12:25:17,39.4,1.794,1.031,1.054
2024-08-03 12:25:21,39.0,1.793,1.030,1.045
2024-08-03 12:25:25,38.4,1.792,1.025,1.000
2024-08-03 12:25:30,38.5,1.792,0.993,1.009
2024-08-03 12:25:34,38.9,1.793,1.033,0.994
2024-08-03 12:25:39,38.3,1.792,1.004,1.019
2024-08-03 12:25:43,39.7,1.794,1.021,1.037
2024-08-03 12:25:48,39.3,1.792,1.014,1.028
2024-08-03 12:25:52,38.8,1.794,1.014,1.031
2024-08-03 12:25:56,38.4,1.795,1.014,1.028
2024-08-03 12:26:01,38.1,1.794,1.003,1.011
2024-08-03 12:26:05,38.8,1.792,1.003,1.005
2024-08-03 12:26:10,38.6,1.794,1.015,1.003
2024-08-03 12:26:14,39.3,1.793,0.995,1.009
2024-08-03 12:26:18,38.8,1.793,1.054,1.044
2024-08-03 12:26:23,38.6,1.794,1.031,1.000
2024-08-03 12:26:27,38.8,1.796,1.027,0.995
2024-08-03 12:26:32,38.6,1.795,1.022,1.001
2024-08-03 12:26:36,38.8,1.794,1.049,1.027
2024-08-03 12:26:41,38.5,1.794,1.001,1.011
2024-08-03 12:26:45,39.1,1.794,0.993,1.006
2024-08-03 12:26:49,39.0,1.794,1.025,0.995
2024-08-03 12:26:54,39.5,1.795,1.017,1.025
2024-08-03 12:26:58,38.0,1.795,1.020,1.031
2024-08-03 12:27:03,39.4,1.796,1.024,0.997
2024-08-03 12:27:07,38.4,1.794,1.037,1.028
2024-08-03 12:27:11,38.1,1.794,1.020,1.031
2024-08-03 12:27:16,39.0,1.792,0.999,1.006
2024-08-03 12:27:20,39.0,1.794,1.042,1.041
